#{"t_start": 1730007573.5611968, "env_id": "w/TetrisEnv"}
r,l,t
1769.0,124,1.000138
680.0,61,1.026701
1114.0,134,1.091414
2147.0,130,1.150905
2564.0,115,1.199219
588.0,63,1.225507
1088.0,119,1.278711
1585.0,152,1.34516
1634.0,121,1.396988
835.0,82,8.370546
1290.0,106,8.443711
524.0,89,8.502489
518.0,74,8.555204
846.0,95,8.621271
2892.0,171,8.738325
1745.0,124,8.823072
2052.0,119,8.901855
1660.0,95,8.968877
4406.0,155,15.107219
1365.0,122,15.187277
2602.0,105,15.255938
780.0,96,15.315614
3114.0,160,15.418841
3614.0,161,15.526142
2661.0,154,15.626402
1842.0,147,23.752598
3701.0,189,23.964015
2584.0,143,24.061667
3150.0,136,24.154918
1971.0,101,24.223659
1292.0,87,24.261806
2045.0,129,24.321061
4518.0,156,24.389032
5822.0,201,32.784481
5234.0,138,32.856775
5020.0,123,32.916836
3840.0,208,33.010954
1990.0,135,33.070124
1507.0,97,33.115791
2423.0,148,33.182651
